Timestamp,Username,Status,Error_Reason,Generated_Message
2026-03-12T12:31:57.423Z,"alexmendoz91783","Failed","Groq returned empty/short message (attempt 3/3)",""
2026-03-12T12:34:07.770Z,"HVACJobsUSA","Failed","Groq returned empty/short message (attempt 3/3)",""
